Meter,Pipe size
1011-068-8701,15
1011-068-9658,15
1011-069-0478,15
1011-069-1827,15
1011-069-2577,15
1011-069-3274,15
1011-069-3275,15
1011-069-3276,15
1011-069-3294,15
1011-069-3295,15
1011-069-3296,15
1011-069-3297,15
1011-069-3298,15
1011-069-3299,15
1011-069-3300,15
1011-069-3301,15
1011-069-3303,15
1011-069-3822,15
1011-069-4044,15
1011-069-4047,15
1011-069-4048,15
1011-069-4049,15
1011-069-4050,15
1011-069-4052,15
1011-069-4064,15
1011-069-4065,15
1011-069-4066,15
1011-069-4067,15
1011-069-4068,15
1011-069-4069,15
1011-069-4070,15
1011-069-4072,15
1011-069-4073,15
1013-029-9606,15
1013-029-9611,15
1013-029-9726,15
1013-029-9727,15
1013-029-9728,15
1013-029-9729,15
1013-029-9730,15
1013-029-9731,15
1013-029-9732,15
1013-029-9733,15
1013-029-9734,15
1013-032-6770,20
1013-033-1808,15
1013-033-1977,15
1013-033-2259,15
1013-033-2260,15
1013-033-2261,15
1013-033-2264,15
1013-033-2381,15
1013-033-2382,15
1013-033-2383,15
1013-033-2386,15
1013-033-2387,15
1013-033-2388,15
1013-033-2389,15
1013-033-2390,15
1013-033-2391,15
1013-033-2392,15
1013-033-2393,15
1013-033-2394,15
1013-033-2395,15
1013-033-2396,15
1013-033-2397,15
1013-033-2398,15
1013-033-2490,15
1013-033-2491,15
1013-033-2492,15
1013-033-2493,15
1013-033-2496,15
1013-033-2497,15
1013-033-2498,15
1013-033-2519,15
1013-033-2521,15
1013-033-2522,15
1013-033-2523,15
1013-033-2524,15
1013-033-2526,15
1013-033-2527,15
1013-033-2528,15
1013-033-2529,15
1013-033-2530,15
1013-033-2532,15
1013-033-2533,15
1013-033-2534,15
1013-033-2535,15
1013-033-2536,15
1013-033-2537,15
1013-033-2538,15
1013-033-2559,15
1013-033-2560,15
1013-033-2561,15
1013-033-2562,15
1013-033-2563,15
1013-033-2564,15
1013-033-2565,15
1013-033-2567,15
1013-033-2568,15
1013-033-2569,15
1013-033-2570,15
1013-033-2572,15
1013-033-2573,15
1013-033-2574,15
1013-033-2575,15
1013-033-2576,15
1013-033-2577,15
1013-033-2578,15
1013-033-2599,15
1013-033-2600,15
1013-033-2601,15
1013-033-2603,15
1013-033-2604,15
1013-033-2605,15
1013-033-2606,15
1013-033-2607,15
1013-033-2608,15
1013-033-2609,15
1013-033-2610,15
1013-033-2611,15
1013-033-2612,15
1013-033-2613,15
1013-033-2614,15
1013-033-2615,15
1013-033-2616,15
1013-033-2617,15
1013-033-2618,15
1013-033-2639,15
1013-033-2640,15
1013-033-2641,15
1013-033-2642,15
1013-033-2643,15
1013-033-2644,15
1013-033-2645,15
1013-033-2646,15
1013-033-2647,15
1013-033-2648,15
1013-033-2649,15
1013-033-2650,15
1013-033-2651,15
1013-033-2652,15
1013-033-2653,15
1013-033-2654,15
1013-033-2655,15
1013-033-2656,15
1013-033-2657,15
1013-033-2658,15
1013-033-2680,15
1013-033-2681,15
1013-033-2682,15
1013-033-2683,15
1013-033-2684,15
1013-033-2685,15
1013-033-2686,15
1013-033-2687,15
1013-033-2688,15
1013-033-2699,15
1013-033-2701,15
1013-033-2702,15
1013-033-2703,15
1013-033-2704,15
1013-033-2705,15
1013-033-2706,15
1013-033-2707,15
1013-033-2708,15
1013-033-2720,15
1013-033-2721,15
1013-033-2722,15
1013-033-2723,15
1013-033-2724,15
1013-033-2725,15
1013-033-2726,15
1013-033-2727,15
1013-033-2728,15
1013-033-2744,15
1013-033-2745,15
1013-033-2761,15
1013-033-2762,15
1013-033-2763,15
1013-033-2764,15
1013-033-2765,15
1013-033-2766,15
1013-033-2767,15
1013-033-2768,15
1013-033-2769,15
1013-033-2770,15
1013-033-2771,15
1013-033-2772,15
1013-033-2773,15
1013-033-2774,15
1013-033-2775,15
1013-033-2776,15
1013-033-2777,15
1013-033-2778,15
1013-033-2979,15
1013-033-2980,15
1013-033-2982,15
