Sl.No,Meter No,RFID,X Coordinate,Y Coordinate,METER_ADDRESS,Pipe size
1,PMC1518019753,10130333331,18.587209100000003,73.8604051,1013-033-3331,15
2,PMC1518019981,10130333559,18.58737,73.860279,1013-033-3559,15
3,PMC1518019982,10130333560,18.58737,73.860279,1013-033-3560,15
4,PMC1518019983,10130333561,18.587343,73.860295,1013-033-3561,15
5,PMC1518019985,10130333563,18.587456,73.86026,1013-033-3563,15
6,PMC1518019037,10130332615,18.586963,73.860447,1013-033-2615,15
7,PMC1518019635,10130333213,18.58717,73.86033,1013-033-3213,15
8,PMC1518019638,10130333216,18.587177,73.86033,1013-033-3216,15
9,PMC1518019751,10130333329,18.58719,73.860336,1013-033-3329,15
10,PMC1518019754,10130333332,18.587604000000002,73.860375,1013-033-3332,15
11,PMC1518018813,10130332391,18.5876782,73.8634691,1013-033-2391,15
12,PMC1518018814,10130332392,18.5877557,73.8635536,1013-033-2392,15
13,PMC1518019928,10130333506,18.587782999999998,73.863322,1013-033-3506,15
14,PMC1518019063,10130332641,18.5882711,73.863618,1013-033-2641,15
15,PMC1518019639,10130333217,18.587177,73.86033,1013-033-3217,15
16,PMC1518019640,10130333218,18.587142999999998,73.860311,1013-033-3218,15
17,PMC1518019743,10130333321,18.587642000000002,73.860316,1013-033-3321,15
18,PMC1518019744,10130333322,18.587575,73.860383,1013-033-3322,15
19,PMC1518019748,10130333326,18.587705,73.860291,1013-033-3326,15
20,PMC1518019755,10130333333,18.587659,73.86030799999999,1013-033-3333,15
21,PMC1518019758,10130333336,18.587489,73.860272,1013-033-3336,15
22,PMC1518019759,10130333337,18.587,73.86030799999999,1013-033-3337,15
23,PMC1518019760,10130333338,18.587575,73.860383,1013-033-3338,15
24,PMC1518019683,10130333261,18.587479000000002,73.86336700000001,1013-033-3261,15
25,PMC1518019684,10130333262,18.587498999999998,73.863435,1013-033-3262,15
26,PMC1518019687,10130333265,18.586882,73.863385,1013-033-3265,15
27,PMC1518019742,10130333320,18.587366,73.863244,1013-033-3320,15
28,PMC1518019745,10130333323,18.586835999999998,73.863378,1013-033-3323,15
29,PMC1518019746,10130333324,18.587378,73.863466,1013-033-3324,15
30,PMC1518019747,10130333325,18.587378,73.863466,1013-033-3325,15
31,PMC1518019749,10130333327,18.587065,73.863444,1013-033-3327,15
32,PMC1518019984,10130333562,18.586791,73.863152,1013-033-3562,15
33,PMC1518019767,10130333345,18.588658,73.863285,1013-033-3345,15
34,PMC1518019768,10130333346,18.588658,73.863285,1013-033-3346,15
35,PMC1518019769,10130333347,18.588658,73.863285,1013-033-3347,15
36,PMC1518019616,10130333194,18.587416,73.863005,1013-033-3194,15
37,PMC1518019619,10130333197,18.586826000000002,73.862974,1013-033-3197,15
38,PMC1518019620,10130333198,18.587477,73.863326,1013-033-3198,15
39,PMC1518019671,10130333249,18.587477,73.863326,1013-033-3249,15
40,PMC1518019672,10130333250,18.58745,73.863254,1013-033-3250,15
41,PMC1518019673,10130333251,18.587032100000002,73.86305779999999,1013-033-3251,15
42,PMC1518019674,10130333252,18.5871525,73.8631791,1013-033-3252,15
43,PMC1518019675,10130333253,18.586891,73.86303199999999,1013-033-3253,15
44,PMC1518019676,10130333254,18.587494,73.863414,1013-033-3254,15
45,PMC1518019677,10130333255,18.587246,73.863036,1013-033-3255,15
46,PMC1518019678,10130333256,18.587334,73.863031,1013-033-3256,15
47,PMC1518019679,10130333257,18.5871799,73.86319350000001,1013-033-3257,15
48,PMC1518019680,10130333258,18.5863,73.86305,1013-033-3258,15
49,PMC1518019793,10130333371,18.588581,73.863351,1013-033-3371,15
50,PMC1518019987,10130333565,18.586771,73.863072,1013-033-3565,15
51,PMC2018008908,10130362165,18.586673,73.863102,1013-036-2165,20
52,PMC2018008909,10130362166,18.586673,73.863102,1013-036-2166,20
53,PMC2018008910,10130362167,18.586673,73.863102,1013-036-2167,20
54,PMC1518019791,10130333369,18.588563,73.863413,1013-033-3369,15
55,PMC1518019794,10130333372,18.588678,73.863421,1013-033-3372,15
56,PMC1518019795,10130333373,18.5885,73.863445,1013-033-3373,15
57,PMC1518019798,10130333376,18.588604999999998,73.86345,1013-033-3376,15
58,PMC1518019408,10130332986,18.589696,73.863324,1013-033-2986,15
59,PMC1518019409,10130332987,18.589626000000003,73.86337900000001,1013-033-2987,15
60,PMC1518019410,10130332988,18.589626000000003,73.86337900000001,1013-033-2988,15
61,PMC1518019682,10130333260,18.589311600000002,73.867598,1013-033-3260,15
62,PMC1518019711,10130333289,18.589307,73.863567,1013-033-3289,15
63,PMC1518019712,10130333290,18.5893615,73.86362170000001,1013-033-3290,15
64,PMC1518019713,10130333291,18.589329,73.863729,1013-033-3291,15
65,PMC1518019718,10130333296,18.589482999999998,73.863642,1013-033-3296,15
66,PMC1518019719,10130333297,18.589497199999997,73.86325699999999,1013-033-3297,15
67,PMC1518019763,10130333341,18.589329,73.863729,1013-033-3341,15
68,PMC1518019764,10130333342,18.589413600000004,73.8637535,1013-033-3342,15
69,PMC1518019691,10130333269,18.588743,73.863323,1013-033-3269,15
70,PMC1518019029,10130332607,18.588508899999997,73.8637273,1013-033-2607,15
71,PMC1518019030,10130332608,18.588573,73.8637085,1013-033-2608,15
72,PMC1518019027,10130332605,18.588836800000003,73.86365190000001,1013-033-2605,15
73,PMC1518019540,10130333118,18.5890103,73.86369140000001,1013-033-3118,15
74,PMC1518019061,10130332639,18.5886728,73.8636022,1013-033-2639,15
75,PMC1518019062,10130332640,18.5885886,73.8636203,1013-033-2640,15
76,PMC1518019064,10130332642,18.588825,73.8635651,1013-033-2642,15
77,PMC1518019781,10130333359,18.590249,73.863929,1013-033-3359,15
78,PMC1518019782,10130333360,18.590249,73.863929,1013-033-3360,15
79,PMC1518019783,10130333361,18.590192000000002,73.864102,1013-033-3361,15
80,PMC1518019784,10130333362,18.590132,73.8639,1013-033-3362,15
81,PMC1518019785,10130333363,18.589882,73.86434890000001,1013-033-3363,15
82,PMC1518019786,10130333364,18.590162,73.863853,1013-033-3364,15
83,PMC1518019787,10130333365,18.590162,73.863853,1013-033-3365,15
84,PMC1518019788,10130333366,18.590191,73.86381300000001,1013-033-3366,15
85,PMC1518019789,10130333367,18.590172,73.863798,1013-033-3367,15
86,PMC1518019954,10130333532,18.590217000000003,73.863976,1013-033-3532,15
87,PMC1518019567,10130333145,18.591597,73.863773,1013-033-3145,15
88,PMC2018008981,10130362238,18.5901788,73.8635084,1013-036-2238,20
89,PMC2018008988,10130362245,18.590566,73.86353299999999,1013-036-2245,20
90,PMC1518019665,10130333243,18.5898003,73.8641873,1013-033-3243,15
91,PMC1518019670,10130333248,18.59003,73.864188,1013-033-3248,15
92,PMC1519033731,10110694044,18.5902306,73.86375109999999,1011-069-4044,15
93,PMC1518019792,10130333370,18.590032,73.864188,1013-033-3370,15
94,PMC1518019445,10130333023,18.5914703,73.86386379999999,1013-033-3023,15
95,PMC1518019471,10130333049,18.591027,73.863147,1013-033-3049,15
96,PMC1518019473,10130333051,18.591022,73.863726,1013-033-3051,15
97,PMC1518019474,10130333052,18.591019,73.86378,1013-033-3052,15
98,PMC1518019561,10130333139,18.590165,73.863765,1013-033-3139,15
99,PMC1518019562,10130333140,18.591022,73.863726,1013-033-3140,15
100,PMC1518019570,10130333148,18.591597,73.863773,1013-033-3148,15
101,PMC1518019664,10130333242,18.5898003,73.8641873,1013-033-3242,15
102,PMC1518019669,10130333247,18.5898003,73.8641873,1013-033-3247,15
103,PMC1518019931,10130333509,18.591227,73.863664,1013-033-3509,15
104,PMC1518019933,10130333511,18.591227,73.863664,1013-033-3511,15
105,PMC1518019663,10130333241,18.5896405,73.8642627,1013-033-3241,15
106,PMC1518019668,10130333246,18.5896843,73.8641829,1013-033-3246,15
107,PMC1519034255,10130466311,18.5897568,73.8637405,1013-046-6311,15
108,PMC1518019702,10130333280,18.589645,73.863824,1013-033-3280,15
109,PMC1518019703,10130333281,18.589645,73.863824,1013-033-3281,15
110,PMC1518019704,10130333282,18.590051000000003,73.86334557,1013-033-3282,15
111,PMC1518019706,10130333284,18.5897568,73.8637405,1013-033-3284,15
112,PMC1518019707,10130333285,18.5897568,73.8637405,1013-033-3285,15
113,PMC1518019725,10130333303,18.589643,73.8641642,1013-033-3303,15
114,PMC1518019726,10130333304,18.589586999999998,73.86392099999999,1013-033-3304,15
115,PMC1518019727,10130333305,18.589585,73.86392099999999,1013-033-3305,15
116,PMC1518018957,10130332535,18.5894895,73.8642332,1013-033-2535,15
117,PMC1518018959,10130332537,18.5894895,73.8642332,1013-033-2537,15
118,PMC1518019705,10130333283,18.590051000000003,73.86334557,1013-033-3283,15
119,PMC1518019708,10130333286,18.589707,73.86385200000001,1013-033-3286,15
120,PMC1518019709,10130333287,18.589805,73.86381899999999,1013-033-3287,15
121,PMC1518019710,10130333288,18.58977,73.863709,1013-033-3288,15
122,PMC1518019721,10130333299,18.589816,73.863646,1013-033-3299,15
123,PMC1518019722,10130333300,18.589585,73.86392099999999,1013-033-3300,15
124,PMC1518019723,10130333301,18.5897215,73.8639985,1013-033-3301,15
125,PMC1518019729,10130333307,18.589803,73.864115,1013-033-3307,15
126,PMC1518019730,10130333308,18.589803,73.864115,1013-033-3308,15
127,PMC1518019762,10130333340,18.5898081,73.86381899999999,1013-033-3340,15
128,PMC1518019765,10130333343,18.590051000000003,73.86334557,1013-033-3343,15
129,PMC1518019766,10130333344,18.590051000000003,73.86334557,1013-033-3344,15
130,PMC1518019770,10130333348,18.589816,73.863646,1013-033-3348,15
131,PMC1518019929,10130333507,18.586238,73.861513,1013-033-3507,15
132,PMC1518019930,10130333508,18.586147,73.861528,1013-033-3508,15
133,PMC1518019688,10130333266,18.586986,73.863417,1013-033-3266,15
134,PMC1518019689,10130333267,18.586986,73.863417,1013-033-3267,15
135,PMC1518019741,10130333319,18.587004999999998,73.863428,1013-033-3319,15
136,PMC1518019067,10130332645,18.587248000000002,73.86149499999999,1013-033-2645,15
137,PMC1518019972,10130333550,18.58739,73.861356,1013-033-3550,15
138,PMC1518019973,10130333551,18.587149,73.86151,1013-033-3551,15
139,PMC1518019974,10130333552,18.587149,73.86151,1013-033-3552,15
140,PMC1518019975,10130333553,18.587248000000002,73.86149499999999,1013-033-3553,15
141,PMC1518019977,10130333555,18.587434,73.861337,1013-033-3555,15
142,PMC2018008954,10130362211,18.587434,73.861337,1013-036-2211,20
143,PMC2018008955,10130362212,18.587501,73.86145400000001,1013-036-2212,20
144,PMC1518019624,10130333202,18.587351,73.86176800000001,1013-033-3202,15
145,PMC1518019625,10130333203,18.587279000000002,73.861799,1013-033-3203,15
146,PMC1518019628,10130333206,18.587391,73.861857,1013-033-3206,15
